ano;Cidade;IDH-m;Populacao
2010;Curitiba;0,823;1.751.907
2011;Curitiba;0,823;1.751.907
2012;Curitiba;0,823;1.751.907
2013;Curitiba;0,823;1.751.907
2014;Curitiba;0,823;1.751.907
2015;Curitiba;0,823;1.751.907
2016;Curitiba;0,823;1.751.907
2017;Curitiba;0,823;1.751.907
2018;Curitiba;0,823;1.751.907
2019;Curitiba;0,823;1.751.907
2020;Curitiba;0,823;1.751.907
2021;Curitiba;0,823;1.751.907
2022;Curitiba;0,823;1.773.718
2010;Fortaleza;0,754;2.452.185
2011;Fortaleza;0,754;2.452.185
2012;Fortaleza;0,754;2.452.185
2013;Fortaleza;0,754;2.452.185
2014;Fortaleza;0,754;2.452.185
2015;Fortaleza;0,754;2.452.185
2016;Fortaleza;0,754;2.452.185
2017;Fortaleza;0,754;2.452.185
2018;Fortaleza;0,754;2.452.185
2019;Fortaleza;0,754;2.452.185
2020;Fortaleza;0,754;2.452.185
2021;Fortaleza;0,754;2.452.185
2022;Fortaleza;0,754;2.428.708
2010;São Paulo;0,805;11.253.503
2011;São Paulo;0,805;11.253.503
2012;São Paulo;0,805;11.253.503
2013;São Paulo;0,805;11.253.503
2014;São Paulo;0,805;11.253.503
2015;São Paulo;0,805;11.253.503
2016;São Paulo;0,805;11.253.503
2017;São Paulo;0,805;11.253.503
2018;São Paulo;0,805;11.253.503
2019;São Paulo;0,805;11.253.503
2020;São Paulo;0,805;11.253.503
2021;São Paulo;0,805;11.253.503
2022;São Paulo;0,805;11.451.999
2010;Manaus;0,737;1.802.014
2011;Manaus;0,737;1.802.014
2012;Manaus;0,737;1.802.014
2013;Manaus;0,737;1.802.014
2014;Manaus;0,737;1.802.014
2015;Manaus;0,737;1.802.014
2016;Manaus;0,737;1.802.014
2017;Manaus;0,737;1.802.014
2018;Manaus;0,737;1.802.014
2019;Manaus;0,737;1.802.014
2020;Manaus;0,737;1.802.014
2021;Manaus;0,737;1.802.014
2022;Manaus;0,737;2.063.689
2010;Porto Alegre;0,805;1.409.351
2011;Porto Alegre;0,805;1.409.351
2012;Porto Alegre;0,805;1.409.351
2013;Porto Alegre;0,805;1.409.351
2014;Porto Alegre;0,805;1.409.351
2015;Porto Alegre;0,805;1.409.351
2016;Porto Alegre;0,805;1.409.351
2017;Porto Alegre;0,805;1.409.351
2018;Porto Alegre;0,805;1.409.351
2019;Porto Alegre;0,805;1.409.351
2020;Porto Alegre;0,805;1.409.351
2021;Porto Alegre;0,805;1.409.351
2022;Porto Alegre;0,805;1.332.845
2010;Goiânia;0,799;1.302.001
2011;Goiânia;0,799;1.302.001
2012;Goiânia;0,799;1.302.001
2013;Goiânia;0,799;1.302.001
2014;Goiânia;0,799;1.302.001
2015;Goiânia;0,799;1.302.001
2016;Goiânia;0,799;1.302.001
2017;Goiânia;0,799;1.302.001
2018;Goiânia;0,799;1.302.001
2019;Goiânia;0,799;1.302.001
2020;Goiânia;0,799;1.302.001
2021;Goiânia;0,799;1.302.001
2022;Goiânia;0,799;1.437.366
2010;Brasília;0,824;2.570.160
2011;Brasília;0,824;2.570.160
2012;Brasília;0,824;2.570.160
2013;Brasília;0,824;2.570.160
2014;Brasília;0,824;2.570.160
2015;Brasília;0,824;2.570.160
2016;Brasília;0,824;2.570.160
2017;Brasília;0,824;2.570.160
2018;Brasília;0,824;2.570.160
2019;Brasília;0,824;2.570.160
2020;Brasília;0,824;2.570.160
2021;Brasília;0,824;2.570.160
2022;Brasília;0,824;2.570.160
